2024-12-12,10:42:54,Sample Rate(S):,0.010
X,Y,R,Theta,Frequency,X Noise,Y Noise,XD1,YD1,RD1,Theta D1,XD2,YD2,RD2,Theta D2,XD3,YD3,RD3,Theta D3,ADC1,ADC2,ADC3,ADC4
1.3332688868e-04,1.3119063009e-04,1.8704823086e-04,4.4537289558e+01,1.0000003052e+07,1.0823614198e-04,1.7594814688e-04,1.3332688868e-04,1.3119063009e-04,1.8704823086e-04,4.4537289558e+01,1.3332688868e-04,1.3119063009e-04,1.8704823086e-04,4.4537289558e+01,1.3332688868e-04,1.3119063009e-04,1.8704823086e-04,4.4537289558e+01,-6.2501907814e-04,-3.1250953907e-04,-1.2500381563e-03,-1.5625476371e-03
1.2747790564e-04,1.3087633458e-04,1.8269983957e-04,4.5753637064e+01,1.0000003052e+07,1.0823712629e-04,1.7594865971e-04,1.2747790564e-04,1.3087633458e-04,1.8269983957e-04,4.5753637064e+01,1.2747790564e-04,1.3087633458e-04,1.8269983957e-04,4.5753637064e+01,1.2747790564e-04,1.3087633458e-04,1.8269983957e-04,4.5753637064e+01,0.0000000000e+00,3.1250953907e-04,-3.1250953907e-04,-1.2500381563e-03
1.2171619297e-04,1.3071983189e-04,1.7861272654e-04,4.7042707075e+01,1.0000003052e+07,1.0823785646e-04,1.7594917934e-04,1.2171619297e-04,1.3071983189e-04,1.7861272654e-04,4.7042707075e+01,1.2171619297e-04,1.3071983189e-04,1.7861272654e-04,4.7042707075e+01,1.2171619297e-04,1.3071983189e-04,1.7861272654e-04,4.7042707075e+01,3.1250953907e-04,9.3752861721e-04,-3.1250953907e-04,-6.2501907814e-04
1.1627284166e-04,1.3027353412e-04,1.7461548443e-04,4.8250183225e+01,1.0000003052e+07,1.0823837729e-04,1.7594965143e-04,1.1627284166e-04,1.3027353412e-04,1.7461548443e-04,4.8250183225e+01,1.1627284166e-04,1.3027353412e-04,1.7461548443e-04,4.8250183225e+01,1.1627284166e-04,1.3027353412e-04,1.7461548443e-04,4.8250183225e+01,-1.2500381563e-03,-9.3752861721e-04,-2.1875668317e-03,-2.5000763126e-03
1.1154971197e-04,1.2955385693e-04,1.7096063900e-04,4.9270577367e+01,1.0000003052e+07,1.0823873990e-04,1.7595004314e-04,1.1154971197e-04,1.2955385693e-04,1.7096063900e-04,4.9270577367e+01,1.1154971197e-04,1.2955385693e-04,1.7096063900e-04,4.9270577367e+01,1.1154971197e-04,1.2955385693e-04,1.7096063900e-04,4.9270577367e+01,-5.6251715869e-03,-5.0001526251e-03,-6.8752099760e-03,-7.5002289377e-03
1.0788125877e-04,1.2871200463e-04,1.6794387791e-04,5.0031610027e+01,1.0000003052e+07,1.0823899676e-04,1.7595033401e-04,1.0788125877e-04,1.2871200463e-04,1.6794387791e-04,5.0031610027e+01,1.0788125877e-04,1.2871200463e-04,1.6794387791e-04,5.0031610027e+01,1.0788125877e-04,1.2871200463e-04,1.6794387791e-04,5.0031610027e+01,-9.3752861721e-04,-3.1250953907e-04,-1.2500381563e-03,-2.1875668317e-03
1.0491482635e-04,1.2759779127e-04,1.6519175864e-04,5.0571910579e+01,1.0000001526e+07,1.0823918304e-04,1.7595052773e-04,1.0491482635e-04,1.2759779127e-04,1.6519175864e-04,5.0571910579e+01,1.0491482635e-04,1.2759779127e-04,1.6519175864e-04,5.0571910579e+01,1.0491482635e-04,1.2759779127e-04,1.6519175864e-04,5.0571910579e+01,-3.1250953907e-04,6.2501907814e-04,0.0000000000e+00,-6.2501907814e-04
1.0222310691e-04,1.2611539923e-04,1.6234117626e-04,5.0973434263e+01,1.0000001526e+07,1.0823931594e-04,1.7595065181e-04,1.0222310691e-04,1.2611539923e-04,1.6234117626e-04,5.0973434263e+01,1.0222310691e-04,1.2611539923e-04,1.6234117626e-04,5.0973434263e+01,1.0222310691e-04,1.2611539923e-04,1.6234117626e-04,5.0973434263e+01,-9.3752861721e-04,-6.2501907814e-04,-1.5625476371e-03,-1.8750572344e-03
9.9796526221e-05,1.2474639727e-04,1.5975296641e-04,5.1340361446e+01,1.0000001526e+07,1.0823946560e-04,1.7595064010e-04,9.9796526221e-05,1.2474639727e-04,1.5975296641e-04,5.1340361446e+01,9.9796526221e-05,1.2474639727e-04,1.5975296641e-04,5.1340361446e+01,9.9796526221e-05,1.2474639727e-04,1.5975296641e-04,5.1340361446e+01,3.1250953907e-04,6.2501907814e-04,-3.1250953907e-04,-1.2500381563e-03
9.7785100763e-05,1.2427845368e-04,1.5813620705e-04,5.1803534358e+01,1.0000003052e+07,1.0823950716e-04,1.7595034613e-04,9.7785100763e-05,1.2427845368e-04,1.5813620705e-04,5.1803534358e+01,9.7785100763e-05,1.2427845368e-04,1.5813620705e-04,5.1803534358e+01,9.7785100763e-05,1.2427845368e-04,1.5813620705e-04,5.1803534358e+01,0.0000000000e+00,6.2501907814e-04,0.0000000000e+00,-6.2501907814e-04
