2024-12-12,10:46:55,Sample Rate(S):,0.010
X,Y,R,Theta,Frequency,X Noise,Y Noise,XD1,YD1,RD1,Theta D1,XD2,YD2,RD2,Theta D2,XD3,YD3,RD3,Theta D3,ADC1,ADC2,ADC3,ADC4
5.4002972010e-05,1.1552667955e-03,1.1565282918e-03,8.7323662570e+01,1.0000003052e+07,2.5670802755e-06,1.6516955399e-04,5.4002972010e-05,1.1552667955e-03,1.1565282918e-03,8.7323662570e+01,5.4002972010e-05,1.1552667955e-03,1.1565282918e-03,8.7323662570e+01,5.4002972010e-05,1.1552667955e-03,1.1565282918e-03,8.7323662570e+01,-9.3752861721e-04,-6.2501907814e-04,-1.5625476371e-03,-2.5000763126e-03
5.5809588774e-05,1.4643323696e-03,1.4653955094e-03,8.7817369220e+01,1.0000003052e+07,2.5674600681e-06,1.6134979201e-04,5.5809588774e-05,1.4643323696e-03,1.4653955094e-03,8.7817369220e+01,5.5809588774e-05,1.4643323696e-03,1.4653955094e-03,8.7817369220e+01,5.5809588774e-05,1.4643323696e-03,1.4653955094e-03,8.7817369220e+01,0.0000000000e+00,3.1250953907e-04,-6.2501907814e-04,-9.3752861721e-04
5.6909695745e-05,1.8131715668e-03,1.8140644543e-03,8.8202264573e+01,1.0000003052e+07,2.5658033307e-06,1.5823795890e-04,5.6909695745e-05,1.8131715668e-03,1.8140644543e-03,8.8202264573e+01,5.6909695745e-05,1.8131715668e-03,1.8140644543e-03,8.8202264573e+01,5.6909695745e-05,1.8131715668e-03,1.8140644543e-03,8.8202264573e+01,-9.3752861721e-04,-3.1250953907e-04,-1.2500381563e-03,-1.5625476371e-03
5.7491681739e-05,2.1853640995e-03,2.1861202027e-03,8.8493040138e+01,1.0000003052e+07,2.5601571872e-06,1.5623390967e-04,5.7491681739e-05,2.1853640995e-03,2.1861202027e-03,8.8493040138e+01,5.7491681739e-05,2.1853640995e-03,2.1861202027e-03,8.8493040138e+01,5.7491681739e-05,2.1853640995e-03,2.1861202027e-03,8.8493040138e+01,0.0000000000e+00,3.1250953907e-04,-6.2501907814e-04,-1.2500381563e-03
5.7722837746e-05,2.5474223444e-03,2.5480762404e-03,8.8701946126e+01,1.0000003052e+07,2.5491583817e-06,1.5560317389e-04,5.7722837746e-05,2.5474223444e-03,2.5480762404e-03,8.8701946126e+01,5.7722837746e-05,2.5474223444e-03,2.5480762404e-03,8.8701946126e+01,5.7722837746e-05,2.5474223444e-03,2.5480762404e-03,8.8701946126e+01,6.2501907814e-04,6.2501907814e-04,0.0000000000e+00,-6.2501907814e-04
5.7430252207e-05,2.8685195227e-03,2.8690943669e-03,8.8853048915e+01,1.0000003052e+07,2.5328329547e-06,1.5643065201e-04,5.7430252207e-05,2.8685195227e-03,2.8690943669e-03,8.8853048915e+01,5.7430252207e-05,2.8685195227e-03,2.8690943669e-03,8.8853048915e+01,5.7430252207e-05,2.8685195227e-03,2.8690943669e-03,8.8853048915e+01,0.0000000000e+00,3.1250953907e-04,3.1250953907e-04,-3.1250953907e-04
5.6191007975e-05,3.1151955774e-03,3.1157023149e-03,8.8966634120e+01,1.0000003052e+07,2.5125555600e-06,1.5859872816e-04,5.6191007975e-05,3.1151955774e-03,3.1157023149e-03,8.8966634120e+01,5.6191007975e-05,3.1151955774e-03,3.1157023149e-03,8.8966634120e+01,5.6191007975e-05,3.1151955774e-03,3.1157023149e-03,8.8966634120e+01,-3.1250953907e-04,3.1250953907e-04,-3.1250953907e-04,-1.2500381563e-03
5.3587671334e-05,3.2530804173e-03,3.2535217596e-03,8.9056264628e+01,1.0000003052e+07,2.4903318520e-06,1.6181437702e-04,5.3587671334e-05,3.2530804173e-03,3.2535217596e-03,8.9056264628e+01,5.3587671334e-05,3.2530804173e-03,3.2535217596e-03,8.9056264628e+01,5.3587671334e-05,3.2530804173e-03,3.2535217596e-03,8.9056264628e+01,-6.2501907814e-04,0.0000000000e+00,-9.3752861721e-04,-1.5625476371e-03
4.9431546893e-05,3.2658715334e-03,3.2662456047e-03,8.9132856282e+01,1.0000003052e+07,2.4477216653e-06,1.6974853408e-04,4.9431546893e-05,3.2658715334e-03,3.2662456047e-03,8.9132856282e+01,4.9431546893e-05,3.2658715334e-03,3.2662456047e-03,8.9132856282e+01,4.9431546893e-05,3.2658715334e-03,3.2662456047e-03,8.9132856282e+01,-3.1250953907e-04,0.0000000000e+00,-9.3752861721e-04,-1.2500381563e-03
4.3957699924e-05,3.1525156646e-03,3.1528221160e-03,8.9201144185e+01,1.0000001526e+07,2.4310579779e-06,1.7366092968e-04,4.3957699924e-05,3.1525156646e-03,3.1528221160e-03,8.9201144185e+01,4.3957699924e-05,3.1525156646e-03,3.1528221160e-03,8.9201144185e+01,4.3957699924e-05,3.1525156646e-03,3.1528221160e-03,8.9201144185e+01,6.2501907814e-04,9.3752861721e-04,3.1250953907e-04,-3.1250953907e-04
3.8243973009e-05,2.9333886412e-03,2.9336379330e-03,8.9253057168e+01,1.0000001526e+07,2.4196682245e-06,1.7714675144e-04,3.8243973009e-05,2.9333886412e-03,2.9336379330e-03,8.9253057168e+01,3.8243973009e-05,2.9333886412e-03,2.9336379330e-03,8.9253057168e+01,3.8243973009e-05,2.9333886412e-03,2.9336379330e-03,8.9253057168e+01,3.1250953907e-04,9.3752861721e-04,3.1250953907e-04,-3.1250953907e-04
3.3590325089e-05,2.6379891232e-03,2.6382029725e-03,8.9270481667e+01,1.0000001526e+07,2.4139990299e-06,1.8006231557e-04,3.3590325089e-05,2.6379891232e-03,2.6382029725e-03,8.9270481667e+01,3.3590325089e-05,2.6379891232e-03,2.6382029725e-03,8.9270481667e+01,3.3590325089e-05,2.6379891232e-03,2.6382029725e-03,8.9270481667e+01,0.0000000000e+00,3.1250953907e-04,-3.1250953907e-04,-9.3752861721e-04
3.0613752805e-05,2.2967770677e-03,2.2969810841e-03,8.9236356478e+01,1.0000003052e+07,2.4130768344e-06,1.8236995482e-04,3.0613752805e-05,2.2967770677e-03,2.2969810841e-03,8.9236356478e+01,3.0613752805e-05,2.2967770677e-03,2.2969810841e-03,8.9236356478e+01,3.0613752805e-05,2.2967770677e-03,2.2969810841e-03,8.9236356478e+01,1.2500381563e-03,1.2500381563e-03,6.2501907814e-04,0.0000000000e+00
2.9121019676e-05,1.9458060108e-03,1.9460239119e-03,8.9142579792e+01,1.0000003052e+07,2.4152938964e-06,1.8410823308e-04,2.9121019676e-05,1.9458060108e-03,1.9460239119e-03,8.9142579792e+01,2.9121019676e-05,1.9458060108e-03,1.9460239119e-03,8.9142579792e+01,2.9121019676e-05,1.9458060108e-03,1.9460239119e-03,8.9142579792e+01,0.0000000000e+00,-9.3752861721e-04,-1.8750572344e-03,-2.5000763126e-03
2.8673203118e-05,1.6086364643e-03,1.6088919873e-03,8.8978844253e+01,1.0000003052e+07,2.4192383737e-06,1.8536051899e-04,2.8673203118e-05,1.6086364643e-03,1.6088919873e-03,8.8978844253e+01,2.8673203118e-05,1.6086364643e-03,1.6088919873e-03,8.8978844253e+01,2.8673203118e-05,1.6086364643e-03,1.6088919873e-03,8.8978844253e+01,-6.2501907814e-04,0.0000000000e+00,-9.3752861721e-04,-1.2500381563e-03
2.9028091620e-05,1.3018742098e-03,1.3021977916e-03,8.8722685692e+01,1.0000003052e+07,2.4240086245e-06,1.8622787366e-04,2.9028091620e-05,1.3018742098e-03,1.3021977916e-03,8.8722685692e+01,2.9028091620e-05,1.3018742098e-03,1.3021977916e-03,8.8722685692e+01,2.9028091620e-05,1.3018742098e-03,1.3021977916e-03,8.8722685692e+01,0.0000000000e+00,0.0000000000e+00,-6.2501907814e-04,-1.2500381563e-03
2.9928821943e-05,1.0403417860e-03,1.0407721970e-03,8.8352161582e+01,1.0000003052e+07,2.4335283493e-06,1.8718761771e-04,2.9928821943e-05,1.0403417860e-03,1.0407721970e-03,8.8352161582e+01,2.9928821943e-05,1.0403417860e-03,1.0407721970e-03,8.8352161582e+01,2.9928821943e-05,1.0403417860e-03,1.0407721970e-03,8.8352161582e+01,0.0000000000e+00,0.0000000000e+00,-3.1250953907e-04,-1.2500381563e-03
3.1066509383e-05,8.2483270031e-04,8.2541753767e-04,8.7843037458e+01,1.0000003052e+07,2.4373140749e-06,1.8742945228e-04,3.1066509383e-05,8.2483270031e-04,8.2541753767e-04,8.7843037458e+01,3.1066509383e-05,8.2483270031e-04,8.2541753767e-04,8.7843037458e+01,3.1066509383e-05,8.2483270031e-04,8.2541753767e-04,8.7843037458e+01,3.1250953907e-04,6.2501907814e-04,0.0000000000e+00,-6.2501907814e-04
3.2235231951e-05,6.5231926244e-04,6.5311525042e-04,8.7170960292e+01,1.0000003052e+07,2.4402418904e-06,1.8758185137e-04,3.2235231951e-05,6.5231926244e-04,6.5311525042e-04,8.7170960292e+01,3.2235231951e-05,6.5231926244e-04,6.5311525042e-04,8.7170960292e+01,3.2235231951e-05,6.5231926244e-04,6.5311525042e-04,8.7170960292e+01,3.1250953907e-04,3.1250953907e-04,-3.1250953907e-04,-9.3752861721e-04
3.3231003456e-05,5.2004137289e-04,5.2110203330e-04,8.6343737951e+01,1.0000003052e+07,2.4426051500e-06,1.8767735058e-04,3.3231003456e-05,5.2004137289e-04,5.2110203330e-04,8.6343737951e+01,3.3231003456e-05,5.2004137289e-04,5.2110203330e-04,8.6343737951e+01,3.3231003456e-05,5.2004137289e-04,5.2110203330e-04,8.6343737951e+01,-6.2501907814e-04,-6.2501907814e-04,-1.8750572344e-03,-2.1875668317e-03
3.3899292286e-05,4.1994183745e-04,4.2130785521e-04,8.5384882006e+01,1.0000003052e+07,2.4446996477e-06,1.8773729342e-04,3.3899292286e-05,4.1994183745e-04,4.2130785521e-04,8.5384882006e+01,3.3899292286e-05,4.1994183745e-04,4.2130785521e-04,8.5384882006e+01,3.3899292286e-05,4.1994183745e-04,4.2130785521e-04,8.5384882006e+01,-3.1250953907e-04,0.0000000000e+00,-9.3752861721e-04,-1.2500381563e-03
3.4215873248e-05,3.4514280443e-04,3.4683466008e-04,8.4338464567e+01,1.0000003052e+07,2.4466279182e-06,1.8777526867e-04,3.4215873248e-05,3.4514280443e-04,3.4683466008e-04,8.4338464567e+01,3.4215873248e-05,3.4514280443e-04,3.4683466008e-04,8.4338464567e+01,3.4215873248e-05,3.4514280443e-04,3.4683466008e-04,8.4338464567e+01,3.1250953907e-04,6.2501907814e-04,-3.1250953907e-04,-6.2501907814e-04
3.4603122877e-05,2.9110298177e-04,2.9315238718e-04,8.3221122760e+01,1.0000003052e+07,2.4482511891e-06,1.8779969180e-04,3.4603122877e-05,2.9110298177e-04,2.9315238718e-04,8.3221122760e+01,3.4603122877e-05,2.9110298177e-04,2.9315238718e-04,8.3221122760e+01,3.4603122877e-05,2.9110298177e-04,2.9315238718e-04,8.3221122760e+01,0.0000000000e+00,6.2501907814e-04,0.0000000000e+00,-9.3752861721e-04
3.5560358494e-05,2.5204562236e-04,2.5454181355e-04,8.1969322375e+01,1.0000003052e+07,2.4491846946e-06,1.8781591451e-04,3.5560358494e-05,2.5204562236e-04,2.5454181355e-04,8.1969322375e+01,3.5560358494e-05,2.5204562236e-04,2.5454181355e-04,8.1969322375e+01,3.5560358494e-05,2.5204562236e-04,2.5454181355e-04,8.1969322375e+01,3.1250953907e-04,6.2501907814e-04,0.0000000000e+00,-9.3752861721e-04
3.6938559493e-05,2.2325877027e-04,2.2629391436e-04,8.0605424360e+01,1.0000003052e+07,2.4485470379e-06,1.8783494707e-04,3.6938559493e-05,2.2325877027e-04,2.2629391436e-04,8.0605424360e+01,3.6938559493e-05,2.2325877027e-04,2.2629391436e-04,8.0605424360e+01,3.6938559493e-05,2.2325877027e-04,2.2629391436e-04,8.0605424360e+01,3.1250953907e-04,6.2501907814e-04,-3.1250953907e-04,-9.3752861721e-04
3.7929997382e-05,2.0185693691e-04,2.0538964843e-04,7.9357916780e+01,1.0000003052e+07,2.4479466851e-06,1.8784070828e-04,3.7929997382e-05,2.0185693691e-04,2.0538964843e-04,7.9357916780e+01,3.7929997382e-05,2.0185693691e-04,2.0538964843e-04,7.9357916780e+01,3.7929997382e-05,2.0185693691e-04,2.0538964843e-04,7.9357916780e+01,-3.1250953907e-04,0.0000000000e+00,-9.3752861721e-04,-1.5625476371e-03
3.7948794017e-05,1.8574941242e-04,1.8958627372e-04,7.8453318753e+01,1.0000003052e+07,2.4479661375e-06,1.8784506034e-04,3.7948794017e-05,1.8574941242e-04,1.8958627372e-04,7.8453318753e+01,3.7948794017e-05,1.8574941242e-04,1.8958627372e-04,7.8453318753e+01,3.7948794017e-05,1.8574941242e-04,1.8958627372e-04,7.8453318753e+01,0.0000000000e+00,3.1250953907e-04,-3.1250953907e-04,-9.3752861721e-04
3.7369797472e-05,1.7387725802e-04,1.7784769501e-04,7.7870476531e+01,1.0000003052e+07,2.4486323112e-06,1.8784851287e-04,3.7369797472e-05,1.7387725802e-04,1.7784769501e-04,7.7870476531e+01,3.7369797472e-05,1.7387725802e-04,1.7784769501e-04,7.7870476531e+01,3.7369797472e-05,1.7387725802e-04,1.7784769501e-04,7.7870476531e+01,0.0000000000e+00,3.1250953907e-04,-1.2500381563e-03,-1.5625476371e-03
3.7127935937e-05,1.6553106045e-04,1.6964379034e-04,7.7358027143e+01,1.0000003052e+07,2.4494074937e-06,1.8785142588e-04,3.7127935937e-05,1.6553106045e-04,1.6964379034e-04,7.7358027143e+01,3.7127935937e-05,1.6553106045e-04,1.6964379034e-04,7.7358027143e+01,3.7127935937e-05,1.6553106045e-04,1.6964379034e-04,7.7358027143e+01,0.0000000000e+00,3.1250953907e-04,-6.2501907814e-04,-9.3752861721e-04
3.7846262902e-05,1.5971419858e-04,1.6413703069e-04,7.6668947570e+01,1.0000003052e+07,2.4494735672e-06,1.8785403703e-04,3.7846262902e-05,1.5971419858e-04,1.6413703069e-04,7.6668947570e+01,3.7846262902e-05,1.5971419858e-04,1.6413703069e-04,7.6668947570e+01,3.7846262902e-05,1.5971419858e-04,1.6413703069e-04,7.6668947570e+01,3.1250953907e-04,6.2501907814e-04,0.0000000000e+00,-3.1250953907e-04
3.9232109828e-05,1.5537650283e-04,1.6025297524e-04,7.5829186839e+01,1.0000003052e+07,2.4483072381e-06,1.8785649791e-04,3.9232109828e-05,1.5537650283e-04,1.6025297524e-04,7.5829186839e+01,3.9232109828e-05,1.5537650283e-04,1.6025297524e-04,7.5829186839e+01,3.9232109828e-05,1.5537650283e-04,1.6025297524e-04,7.5829186839e+01,3.1250953907e-04,9.3752861721e-04,0.0000000000e+00,-6.2501907814e-04
4.0182900629e-05,1.5162709809e-04,1.5686122012e-04,7.5157171659e+01,1.0000003052e+07,2.4460447611e-06,1.8785888980e-04,4.0182900629e-05,1.5162709809e-04,1.5686122012e-04,7.5157171659e+01,4.0182900629e-05,1.5162709809e-04,1.5686122012e-04,7.5157171659e+01,4.0182900629e-05,1.5162709809e-04,1.5686122012e-04,7.5157171659e+01,-6.2501907814e-04,0.0000000000e+00,-9.3752861721e-04,-1.5625476371e-03
4.0111803391e-05,1.4806535995e-04,1.5340243671e-04,7.4842055669e+01,1.0000003052e+07,2.4402957722e-06,1.8786357571e-04,4.0111803391e-05,1.4806535995e-04,1.5340243671e-04,7.4842055669e+01,4.0111803391e-05,1.4806535995e-04,1.5340243671e-04,7.4842055669e+01,4.0111803391e-05,1.4806535995e-04,1.5340243671e-04,7.4842055669e+01,0.0000000000e+00,3.1250953907e-04,-3.1250953907e-04,-1.2500381563e-03
3.9415453603e-05,1.4468208885e-04,1.4995494262e-04,7.4760847765e+01,1.0000003052e+07,2.4375679591e-06,1.8786590169e-04,3.9415453603e-05,1.4468208885e-04,1.4995494262e-04,7.4760847765e+01,3.9415453603e-05,1.4468208885e-04,1.4995494262e-04,7.4760847765e+01,3.9415453603e-05,1.4468208885e-04,1.4995494262e-04,7.4760847765e+01,3.1250953907e-04,3.1250953907e-04,-6.2501907814e-04,-1.2500381563e-03
3.8573039761e-05,1.4132438040e-04,1.4649389029e-04,7.4733557013e+01,1.0000003052e+07,2.4353047014e-06,1.8786823280e-04,3.8573039761e-05,1.4132438040e-04,1.4649389029e-04,7.4733557013e+01,3.8573039761e-05,1.4132438040e-04,1.4649389029e-04,7.4733557013e+01,3.8573039761e-05,1.4132438040e-04,1.4649389029e-04,7.4733557013e+01,-3.1250953907e-04,3.1250953907e-04,-6.2501907814e-04,-1.2500381563e-03
3.7840935740e-05,1.3731852677e-04,1.4243705351e-04,7.4593369699e+01,1.0000001526e+07,2.4337680359e-06,1.8787054470e-04,3.7840935740e-05,1.3731852677e-04,1.4243705351e-04,7.4593369699e+01,3.7840935740e-05,1.3731852677e-04,1.4243705351e-04,7.4593369699e+01,3.7840935740e-05,1.3731852677e-04,1.4243705351e-04,7.4593369699e+01,0.0000000000e+00,6.2501907814e-04,-3.1250953907e-04,-6.2501907814e-04
3.7510964174e-05,1.3192707222e-04,1.3715620591e-04,7.4127908325e+01,1.0000001526e+07,2.4329416631e-06,1.8787275793e-04,3.7510964174e-05,1.3192707222e-04,1.3715620591e-04,7.4127908325e+01,3.7510964174e-05,1.3192707222e-04,1.3715620591e-04,7.4127908325e+01,3.7510964174e-05,1.3192707222e-04,1.3715620591e-04,7.4127908325e+01,3.1250953907e-04,3.1250953907e-04,-6.2501907814e-04,-9.3752861721e-04
3.7747010926e-05,1.2474750726e-04,1.3033333189e-04,7.3164857468e+01,1.0000001526e+07,2.4325932207e-06,1.8787476236e-04,3.7747010926e-05,1.2474750726e-04,1.3033333189e-04,7.3164857468e+01,3.7747010926e-05,1.2474750726e-04,1.3033333189e-04,7.3164857468e+01,3.7747010926e-05,1.2474750726e-04,1.3033333189e-04,7.3164857468e+01,-3.1250953907e-04,3.1250953907e-04,-6.2501907814e-04,-1.5625476371e-03
3.8510369523e-05,1.1578309836e-04,1.2201956575e-04,7.1602474398e+01,1.0000003052e+07,2.4324182411e-06,1.8787645011e-04,3.8510369523e-05,1.1578309836e-04,1.2201956575e-04,7.1602474398e+01,3.8510369523e-05,1.1578309836e-04,1.2201956575e-04,7.1602474398e+01,3.8510369523e-05,1.1578309836e-04,1.2201956575e-04,7.1602474398e+01,-6.2501907814e-04,-3.1250953907e-04,-9.3752861721e-04,-1.8750572344e-03
3.9574765709e-05,1.0587513762e-04,1.1302967242e-04,6.9504908392e+01,1.0000003052e+07,2.4321090026e-06,1.8787775679e-04,3.9574765709e-05,1.0587513762e-04,1.1302967242e-04,6.9504908392e+01,3.9574765709e-05,1.0587513762e-04,1.1302967242e-04,6.9504908392e+01,3.9574765709e-05,1.0587513762e-04,1.1302967242e-04,6.9504908392e+01,3.7501144689e-03,4.3751336634e-03,3.7501144689e-03,3.7501144689e-03
