2024-12-09,15:59:42,Sample Rate(S):,0.010
X,Y,R,Theta,Frequency,X Noise,Y Noise,XD1,YD1,RD1,Theta D1,XD2,YD2,RD2,Theta D2,XD3,YD3,RD3,Theta D3,ADC1,ADC2,ADC3,ADC4
7.2212038033e-05,1.2727625913e-04,1.4633463218e-04,6.0430964572e+01,1.0000003052e+07,6.1724637433e-05,7.8809323803e-05,7.2212038033e-05,1.2727625913e-04,1.4633463218e-04,6.0430964572e+01,7.2212038033e-05,1.2727625913e-04,1.4633463218e-04,6.0430964572e+01,7.2212038033e-05,1.2727625913e-04,1.4633463218e-04,6.0430964572e+01,0.0000000000e+00,3.1250953907e-04,-3.1250953907e-04,-9.3752861721e-04
7.2250331488e-05,1.2639136995e-04,1.4558464479e-04,6.0246002854e+01,1.0000003052e+07,6.1728779083e-05,7.8814194896e-05,7.2250331488e-05,1.2639136995e-04,1.4558464479e-04,6.0246002854e+01,7.2250331488e-05,1.2639136995e-04,1.4558464479e-04,6.0246002854e+01,7.2250331488e-05,1.2639136995e-04,1.4558464479e-04,6.0246002854e+01,0.0000000000e+00,3.1250953907e-04,-6.2501907814e-04,-9.3752861721e-04
7.1441277733e-05,1.2602714697e-04,1.4486786372e-04,6.0452312269e+01,1.0000003052e+07,6.1733019751e-05,7.8819145242e-05,7.1441277733e-05,1.2602714697e-04,1.4486786372e-04,6.0452312269e+01,7.1441277733e-05,1.2602714697e-04,1.4486786372e-04,6.0452312269e+01,7.1441277733e-05,1.2602714697e-04,1.4486786372e-04,6.0452312269e+01,3.1250953907e-04,6.2501907814e-04,-3.1250953907e-04,-9.3752861721e-04
7.0224662045e-05,1.2613998216e-04,1.4437035104e-04,6.0894439561e+01,1.0000003052e+07,6.1737423802e-05,7.8824137056e-05,7.0224662045e-05,1.2613998216e-04,1.4437035104e-04,6.0894439561e+01,7.0224662045e-05,1.2613998216e-04,1.4437035104e-04,6.0894439561e+01,7.0224662045e-05,1.2613998216e-04,1.4437035104e-04,6.0894439561e+01,-6.2501907814e-04,0.0000000000e+00,-9.3752861721e-04,-1.5625476371e-03
6.9242006823e-05,1.2614531088e-04,1.4389960030e-04,6.1237326338e+01,1.0000003052e+07,6.1741988383e-05,7.8829166404e-05,6.9242006823e-05,1.2614531088e-04,1.4389960030e-04,6.1237326338e+01,6.9242006823e-05,1.2614531088e-04,1.4389960030e-04,6.1237326338e+01,6.9242006823e-05,1.2614531088e-04,1.4389960030e-04,6.1237326338e+01,-1.2500381563e-03,-3.1250953907e-04,-1.2500381563e-03,-1.8750572344e-03
6.8955459413e-05,1.2546353753e-04,1.4316408290e-04,6.1206564426e+01,1.0000003052e+07,6.1746655945e-05,7.8834254745e-05,6.8955459413e-05,1.2546353753e-04,1.4316408290e-04,6.1206564426e+01,6.8955459413e-05,1.2546353753e-04,1.4316408290e-04,6.1206564426e+01,6.8955459413e-05,1.2546353753e-04,1.4316408290e-04,6.1206564426e+01,-3.1250953907e-04,3.1250953907e-04,-9.3752861721e-04,-1.5625476371e-03
6.9339129704e-05,1.2386833454e-04,1.4195520142e-04,6.0760735202e+01,1.0000001526e+07,6.1751345982e-05,7.8839464760e-05,6.9339129704e-05,1.2386833454e-04,1.4195520142e-04,6.0760735202e+01,6.9339129704e-05,1.2386833454e-04,1.4195520142e-04,6.0760735202e+01,6.9339129704e-05,1.2386833454e-04,1.4195520142e-04,6.0760735202e+01,-8.4377573803e-03,-8.4377573803e-03,-1.0312814265e-02,-1.0937834159e-02
6.9895801252e-05,1.2204119235e-04,1.4063952383e-04,6.0199244150e+01,1.0000001526e+07,6.1756001748e-05,7.8844865648e-05,6.9895801252e-05,1.2204119235e-04,1.4063952383e-04,6.0199244150e+01,6.9895801252e-05,1.2204119235e-04,1.4063952383e-04,6.0199244150e+01,6.9895801252e-05,1.2204119235e-04,1.4063952383e-04,6.0199244150e+01,6.2501907814e-04,9.3752861721e-04,3.1250953907e-04,-3.1250953907e-04
7.0156813849e-05,1.2093301166e-04,1.3980977019e-04,5.9880717545e+01,1.0000001526e+07,6.1765193825e-05,7.8856139290e-05,7.0156813849e-05,1.2093301166e-04,1.3980977019e-04,5.9880717545e+01,7.0156813849e-05,1.2093301166e-04,1.3980977019e-04,5.9880717545e+01,7.0156813849e-05,1.2093301166e-04,1.3980977019e-04,5.9880717545e+01,-3.1250953907e-04,0.0000000000e+00,-6.2501907814e-04,-1.2500381563e-03
7.0126787362e-05,1.2065846311e-04,1.3955726791e-04,5.9834819004e+01,1.0000003052e+07,6.1769747022e-05,7.8861827524e-05,7.0126787362e-05,1.2065846311e-04,1.3955726791e-04,5.9834819004e+01,7.0126787362e-05,1.2065846311e-04,1.3955726791e-04,5.9834819004e+01,7.0126787362e-05,1.2065846311e-04,1.3955726791e-04,5.9834819004e+01,-3.1250953907e-04,3.1250953907e-04,-6.2501907814e-04,-1.2500381563e-03
7.0047288221e-05,1.2069690806e-04,1.3955058654e-04,5.9870970739e+01,1.0000003052e+07,6.1774282544e-05,7.8867480608e-05,7.0047288221e-05,1.2069690806e-04,1.3955058654e-04,5.9870970739e+01,7.0047288221e-05,1.2069690806e-04,1.3955058654e-04,5.9870970739e+01,7.0047288221e-05,1.2069690806e-04,1.3955058654e-04,5.9870970739e+01,-3.1250953907e-04,3.1250953907e-04,-3.1250953907e-04,-9.3752861721e-04
7.0180663509e-05,1.2062726561e-04,1.3955738153e-04,5.9809259237e+01,1.0000003052e+07,6.1778808689e-05,7.8873101183e-05,7.0180663509e-05,1.2062726561e-04,1.3955738153e-04,5.9809259237e+01,7.0180663509e-05,1.2062726561e-04,1.3955738153e-04,5.9809259237e+01,7.0180663509e-05,1.2062726561e-04,1.3955738153e-04,5.9809259237e+01,3.1250953907e-04,9.3752861721e-04,0.0000000000e+00,-6.2501907814e-04
7.1076446103e-05,1.2046100997e-04,1.3986677988e-04,5.9457829698e+01,1.0000003052e+07,6.1783293282e-05,7.8878695265e-05,7.1076446103e-05,1.2046100997e-04,1.3986677988e-04,5.9457829698e+01,7.1076446103e-05,1.2046100997e-04,1.3986677988e-04,5.9457829698e+01,7.1076446103e-05,1.2046100997e-04,1.3986677988e-04,5.9457829698e+01,-1.8750572344e-03,-1.5625476371e-03,-2.5000763126e-03,-3.1250952743e-03
7.3273760981e-05,1.2066454396e-04,1.4117002591e-04,5.8731712541e+01,1.0000003052e+07,6.1787615212e-05,7.8884224987e-05,7.3273760981e-05,1.2066454396e-04,1.4117002591e-04,5.8731712541e+01,7.3273760981e-05,1.2066454396e-04,1.4117002591e-04,5.8731712541e+01,7.3273760981e-05,1.2066454396e-04,1.4117002591e-04,5.8731712541e+01,3.4376049880e-03,4.3751336634e-03,3.7501144689e-03,3.7501144689e-03
7.6352575516e-05,1.2152440265e-04,1.4351967192e-04,5.7859266011e+01,1.0000003052e+07,6.1791604806e-05,7.8889607805e-05,7.6352575516e-05,1.2152440265e-04,1.4351967192e-04,5.7859266011e+01,7.6352575516e-05,1.2152440265e-04,1.4351967192e-04,5.7859266011e+01,7.6352575516e-05,1.2152440265e-04,1.4351967192e-04,5.7859266011e+01,9.3752861721e-04,1.2500381563e-03,3.1250953907e-04,0.0000000000e+00
7.8903604854e-05,1.2291667182e-04,1.4606261353e-04,5.7302478897e+01,1.0000003052e+07,6.1795175241e-05,7.8894768419e-05,7.8903604854e-05,1.2291667182e-04,1.4606261353e-04,5.7302478897e+01,7.8903604854e-05,1.2291667182e-04,1.4606261353e-04,5.7302478897e+01,7.8903604854e-05,1.2291667182e-04,1.4606261353e-04,5.7302478897e+01,0.0000000000e+00,6.2501907814e-04,-3.1250953907e-04,-9.3752861721e-04
