2024-12-09,15:58:40,Sample Rate(S):,0.010
X,Y,R,Theta,Frequency,X Noise,Y Noise,XD1,YD1,RD1,Theta D1,XD2,YD2,RD2,Theta D2,XD3,YD3,RD3,Theta D3,ADC1,ADC2,ADC3,ADC4
-2.5678167798e-05,1.7337757746e-04,1.7526880118e-04,9.8424584012e+01,1.0000003052e+07,9.1203088332e-06,8.5251990536e-05,-2.5678167798e-05,1.7337757746e-04,1.7526880118e-04,9.8424584012e+01,-2.5678167798e-05,1.7337757746e-04,1.7526880118e-04,9.8424584012e+01,-2.5678167798e-05,1.7337757746e-04,1.7526880118e-04,9.8424584012e+01,-3.1250953907e-04,3.1250953907e-04,-6.2501907814e-04,-1.2500381563e-03
-2.5947230210e-05,1.7864081421e-04,1.8051537125e-04,9.8264314080e+01,1.0000003052e+07,9.1187981824e-06,8.5233604948e-05,-2.5947230210e-05,1.7864081421e-04,1.8051537125e-04,9.8264314080e+01,-2.5947230210e-05,1.7864081421e-04,1.8051537125e-04,9.8264314080e+01,-2.5947230210e-05,1.7864081421e-04,1.8051537125e-04,9.8264314080e+01,-2.5000763126e-03,-2.5000763126e-03,-3.4376049880e-03,-4.0626241826e-03
-2.6902860278e-05,1.8600015449e-04,1.8793568410e-04,9.8230131175e+01,1.0000001526e+07,9.1173242457e-06,8.5209688243e-05,-2.6902860278e-05,1.8600015449e-04,1.8793568410e-04,9.8230131175e+01,-2.6902860278e-05,1.8600015449e-04,1.8793568410e-04,9.8230131175e+01,-2.6902860278e-05,1.8600015449e-04,1.8793568410e-04,9.8230131175e+01,0.0000000000e+00,3.1250953907e-04,-6.2501907814e-04,-9.3752861721e-04
-2.8661014314e-05,1.9535694454e-04,1.9744819453e-04,9.8346386353e+01,1.0000001526e+07,9.1156699229e-06,8.5178492422e-05,-2.8661014314e-05,1.9535694454e-04,1.9744819453e-04,9.8346386353e+01,-2.8661014314e-05,1.9535694454e-04,1.9744819453e-04,9.8346386353e+01,-2.8661014314e-05,1.9535694454e-04,1.9744819453e-04,9.8346386353e+01,6.2501907814e-04,1.2500381563e-03,3.1250953907e-04,0.0000000000e+00
-3.0894138895e-05,2.0657895644e-04,2.0887631043e-04,9.8505625347e+01,1.0000001526e+07,9.1135923477e-06,8.5137672520e-05,-3.0894138895e-05,2.0657895644e-04,2.0887631043e-04,9.8505625347e+01,-3.0894138895e-05,2.0657895644e-04,2.0887631043e-04,9.8505625347e+01,-3.0894138895e-05,2.0657895644e-04,2.0887631043e-04,9.8505625347e+01,0.0000000000e+00,3.1250953907e-04,-3.1250953907e-04,-1.5625476371e-03
-3.3049701739e-05,2.1972250560e-04,2.2219419941e-04,9.8554062396e+01,1.0000003052e+07,9.1108535002e-06,8.5084159497e-05,-3.3049701739e-05,2.1972250560e-04,2.2219419941e-04,9.8554062396e+01,-3.3049701739e-05,2.1972250560e-04,2.2219419941e-04,9.8554062396e+01,-3.3049701739e-05,2.1972250560e-04,2.2219419941e-04,9.8554062396e+01,-6.2501907814e-04,0.0000000000e+00,-1.2500381563e-03,-1.5625476371e-03
-3.4637960689e-05,2.3511168703e-04,2.3764951861e-04,9.8380852543e+01,1.0000003052e+07,9.1070663563e-06,8.5014196169e-05,-3.4637960689e-05,2.3511168703e-04,2.3764951861e-04,9.8380852543e+01,-3.4637960689e-05,2.3511168703e-04,2.3764951861e-04,9.8380852543e+01,-3.4637960689e-05,2.3511168703e-04,2.3764951861e-04,9.8380852543e+01,-3.1250953907e-04,0.0000000000e+00,-9.3752861721e-04,-1.5625476371e-03
-3.5749225708e-05,2.5339027484e-04,2.5589966495e-04,9.8030504203e+01,1.0000003052e+07,9.0933931749e-06,8.4807175722e-05,-3.5749225708e-05,2.5339027484e-04,2.5589966495e-04,9.8030504203e+01,-3.5749225708e-05,2.5339027484e-04,2.5589966495e-04,9.8030504203e+01,-3.5749225708e-05,2.5339027484e-04,2.5589966495e-04,9.8030504203e+01,-3.1250953907e-04,0.0000000000e+00,-9.3752861721e-04,-1.5625476371e-03
-3.7173365493e-05,2.7592669015e-04,2.7841946311e-04,9.7672805576e+01,1.0000003052e+07,9.0818182839e-06,8.4660790515e-05,-3.7173365493e-05,2.7592669015e-04,2.7841946311e-04,9.7672805576e+01,-3.7173365493e-05,2.7592669015e-04,2.7841946311e-04,9.7672805576e+01,-3.7173365493e-05,2.7592669015e-04,2.7841946311e-04,9.7672805576e+01,3.1250953907e-04,6.2501907814e-04,-3.1250953907e-04,-6.2501907814e-04
-3.9546441810e-05,3.0391759926e-04,3.0647973538e-04,9.7413807642e+01,1.0000003052e+07,9.0661479993e-06,8.4480096673e-05,-3.9546441810e-05,3.0391759926e-04,3.0647973538e-04,9.7413807642e+01,-3.9546441810e-05,3.0391759926e-04,3.0647973538e-04,9.7413807642e+01,-3.9546441810e-05,3.0391759926e-04,3.0647973538e-04,9.7413807642e+01,-9.3752861721e-04,-6.2501907814e-04,-1.8750572344e-03,-2.1875668317e-03
